,Standard,Bmo,Scotiabank,Td,Cibc,Rbc
0,Canadian Green and Transition Finance Taxonomy,0.59,0.568,0.62,0.563,0.61
1,Climate Bond Certified,0.505,0.529,0.471,0.492,0.423
2,Corporate Sustainability Reporting Directive,0.451,0.427,0.466,0.437,0.461
3,EU Taxonomy for Sustainable Activities,0.366,0.338,0.401,0.375,0.348
4,Sustainable Finance Disclosure Regulation,0.377,0.367,0.396,0.363,0.376
5,The Taskforce on Nature-related Financial Disclosures,0.557,0.58,0.575,0.521,0.51
6,UN PRB – Reporting and Self-Assessment Template,0.549,0.564,0.577,0.574,0.574
7,United Nations Environment Programme Finance Initiative (UNEP FI),0.567,0.628,0.622,0.601,0.576
8,CDP Climate Change Questionnaire 2022 (Modules 1–6),0.492,0.512,0.473,0.442,0.387
9,CDP Climate Change Questionnaire 2022 – Module 7: Emissions Methodology and Exclusions,0.53,0.57,0.554,0.54,0.495
10,"CDP Climate Change, Forests, and Water Security Questionnaire 2022 (Modules 8–13)",0.566,0.567,0.578,0.491,0.484
11,CDP Disclosure System Guide 2022,0.469,0.51,0.516,0.501,0.451
12,The Equator Principles (EP4),0.457,0.46,0.43,0.488,0.462
13,Gri 1: Foundation 2021,0.5,0.487,0.516,0.495,0.475
14,Gri 2: General Disclosures 2021,0.54,0.548,0.595,0.522,0.45
15,Gri 3: Material Topics 2021,0.497,0.502,0.518,0.495,0.443
16,Gri 11: Oil And Gas Sector 2021,0.548,0.56,0.52,0.477,0.495
17,Gri 12: Coal Sector 2022,0.471,0.486,0.477,0.47,0.466
18,"Gri 13: Agriculture, Aquaculture And Fishing Sectors 2022",0.463,0.45,0.482,0.389,0.425
19,Gri 14:  Mining Sector 2024,0.497,0.507,0.493,0.489,0.444
20,Gri 101: Biodiversity 2024,0.579,0.563,0.546,0.543,0.474
21,Gri 201: Economic Performance 2016,0.516,0.53,0.517,0.496,0.493
22,Gri 202: Market Presence 2016,0.395,0.359,0.381,0.396,0.382
