,Standards,Canadian Green and Transition Finance Taxonomy,Climate Bond Certified,Corporate Sustainability Reporting Directive,EU Taxonomy for Sustainable Activities,Sustainable Finance Disclosure Regulation,The Taskforce on Nature-related Financial Disclosures,UN PRB – Reporting and Self-Assessment Template,United Nations Environment Programme Finance Initiative (UNEP FI),CDP Climate Change Questionnaire 2022 (Modules 1–6),CDP Climate Change Questionnaire 2022 – Module 7: Emissions Methodology and Exclusions,"CDP Climate Change, Forests, and Water Security Questionnaire 2022 (Modules 8–13)",CDP Disclosure System Guide 2022,The Equator Principles (EP4),Gri 1: Foundation 2021,Gri 2: General Disclosures 2021,Gri 3: Material Topics 2021,Gri 11: Oil And Gas Sector 2021,Gri 12: Coal Sector 2022,"Gri 13: Agriculture, Aquaculture And Fishing Sectors 2022",Gri 14:  Mining Sector 2024,Gri 101: Biodiversity 2024,Gri 201: Economic Performance 2016,Gri 202: Market Presence 2016,Gri 203: Indirect Economic Impacts 2016,Gri 204: Procurement Practices 2016,Gri 205: Anti-corruption 2016,Gri 206: Anti-competitive Behavior 2016,Gri 207: Tax 2019,Gri 301: Materials 2016,Gri 302: Energy 2016,Gri 303: Water And Effluents 2018,Gri 304: Biodiversity 2016,Gri 305: Emissions 2016,Gri 306: Effluents And Waste 2016,Gri 306: Waste 2020,Gri 308: Supplier Environmental Assessment 2016,Gri 401: Employment 2016,Gri 402: Labor 2016,Gri 403: Occupational Health And Safety 2018,Gri 404: Training And Education 2016,Gri 405: Diversity And Equal Opportunity 2016,Gri 406: Non-discrimination 2016,Gri 407: Freedom Of Association And Collective Bargaining 2016,Gri 408: Child Labor 2016,Gri 409: Forced Or Compulsory Labor 2016,Gri 410: Security Practices 2016,Gri 411: Rights Of Indigenous Peoples 2016,Gri 413: Local Communities 2016,Gri 414: Supplier Social Assessment 2016,Gri 415: Public Policy 2016,Gri 416: Customer Health And Safety 2016,Gri 417: Marketing And Labeling 2016,Gri 418: Customer Privacy 2016,International Framework (ir),B-15 Climate Risk Guidelines OSFI,Task Force on Climate-related Financial Disclosures (TCFD),Asset Management & Custody Activities Sustainability Accounting Standard,Commercial Banks Sustainability Accounting Standard,Consumer Finance Sustainability Accounting Standard,Insurance Sustainability Accounting Standard,Mortgage Finance Sustainability Accounting Standard,Security & Commodity Exchanges Sustainability Accounting Standard,Ifrs S2: Ifrs Sustainability Disclosure Standard Climate-related Disclosures,Ifrs S1: General Requirements For Disclosure Of Sustainability-related Financial Information,Financed Emissions: The Global Ghg Standard & Reporting Part A,Financed Emissions: The Global Ghg Standard & Reporting Part B,Insurance-associated Emissions: The Global Ghg Standard & Reporting Part C
0,Canadian Green and Transition Finance Taxonomy,1.0,0.561,0.5,0.462,0.512,0.661,0.535,0.496,0.536,0.549,0.565,0.533,0.497,0.546,0.528,0.511,0.527,0.486,0.505,0.486,0.601,0.535,0.364,0.488,0.488,0.436,0.401,0.51,0.514,0.552,0.466,0.527,0.533,0.42,0.501,0.518,0.39,0.46,0.444,0.384,0.496,0.381,0.519,0.381,0.381,0.32,0.457,0.528,0.496,0.476,0.392,0.493,0.402,0.504,0.487,0.524,0.564,0.509,0.542,0.607,0.502,0.562,0.587,0.501,0.59,0.57,0.535
1,Climate Bond Certified,0.561,1.0,0.425,0.411,0.439,0.542,0.454,0.478,0.504,0.495,0.508,0.465,0.51,0.502,0.502,0.413,0.514,0.477,0.466,0.47,0.505,0.503,0.275,0.387,0.436,0.433,0.285,0.447,0.412,0.487,0.445,0.472,0.516,0.35,0.463,0.46,0.337,0.387,0.441,0.307,0.393,0.279,0.522,0.485,0.45,0.354,0.377,0.418,0.434,0.478,0.391,0.44,0.344,0.367,0.489,0.569,0.474,0.499,0.465,0.486,0.435,0.523,0.525,0.578,0.595,0.608,0.479
2,Corporate Sustainability Reporting Directive,0.5,0.425,1.0,0.632,0.704,0.523,0.435,0.472,0.435,0.479,0.507,0.469,0.519,0.47,0.48,0.455,0.493,0.469,0.465,0.528,0.483,0.523,0.32,0.443,0.533,0.474,0.516,0.492,0.512,0.463,0.476,0.484,0.454,0.395,0.412,0.488,0.388,0.52,0.444,0.358,0.368,0.372,0.57,0.434,0.448,0.382,0.455,0.454,0.463,0.482,0.425,0.492,0.399,0.436,0.432,0.457,0.539,0.463,0.494,0.526,0.526,0.564,0.567,0.514,0.434,0.471,0.452
3,EU Taxonomy for Sustainable Activities,0.462,0.411,0.632,1.0,0.767,0.46,0.382,0.414,0.473,0.467,0.395,0.457,0.481,0.478,0.46,0.458,0.495,0.501,0.489,0.512,0.423,0.443,0.26,0.393,0.437,0.467,0.426,0.498,0.456,0.465,0.467,0.457,0.449,0.44,0.469,0.533,0.414,0.47,0.541,0.39,0.433,0.382,0.49,0.453,0.423,0.425,0.415,0.455,0.456,0.42,0.529,0.504,0.411,0.422,0.372,0.392,0.456,0.417,0.47,0.451,0.422,0.496,0.48,0.47,0.371,0.44,0.431
4,Sustainable Finance Disclosure Regulation,0.512,0.439,0.704,0.767,1.0,0.495,0.472,0.437,0.48,0.466,0.454,0.476,0.453,0.483,0.507,0.448,0.477,0.461,0.516,0.506,0.428,0.525,0.336,0.435,0.459,0.478,0.5,0.506,0.487,0.494,0.516,0.457,0.48,0.403,0.472,0.489,0.461,0.529,0.515,0.451,0.457,0.409,0.536,0.433,0.447,0.417,0.389,0.461,0.457,0.49,0.523,0.539,0.463,0.517,0.42,0.425,0.504,0.499,0.569,0.489,0.549,0.522,0.508,0.504,0.47,0.477,0.465
5,The Taskforce on Nature-related Financial Disclosures,0.661,0.542,0.523,0.46,0.495,1.0,0.567,0.552,0.478,0.605,0.656,0.501,0.529,0.521,0.587,0.523,0.56,0.507,0.537,0.557,0.745,0.641,0.375,0.571,0.501,0.508,0.383,0.53,0.484,0.544,0.491,0.762,0.581,0.448,0.504,0.508,0.453,0.459,0.492,0.373,0.488,0.401,0.615,0.399,0.363,0.384,0.472,0.548,0.507,0.524,0.463,0.526,0.444,0.511,0.536,0.718,0.607,0.633,0.641,0.657,0.566,0.641,0.694,0.627,0.587,0.59,0.5
6,UN PRB – Reporting and Self-Assessment Template,0.535,0.454,0.435,0.382,0.472,0.567,1.0,0.754,0.444,0.548,0.516,0.516,0.464,0.459,0.502,0.496,0.409,0.468,0.433,0.489,0.557,0.531,0.383,0.508,0.466,0.5,0.389,0.446,0.46,0.435,0.489,0.488,0.425,0.336,0.428,0.497,0.42,0.404,0.452,0.459,0.441,0.466,0.483,0.386,0.399,0.424,0.448,0.491,0.536,0.495,0.439,0.5,0.477,0.497,0.441,0.456,0.456,0.623,0.544,0.473,0.485,0.475,0.525,0.448,0.524,0.494,0.394
7,United Nations Environment Programme Finance Initiative (UNEP FI),0.496,0.478,0.472,0.414,0.437,0.552,0.754,1.0,0.427,0.48,0.494,0.425,0.5,0.503,0.507,0.46,0.411,0.431,0.421,0.461,0.535,0.462,0.345,0.392,0.415,0.477,0.358,0.474,0.444,0.468,0.418,0.477,0.422,0.356,0.473,0.453,0.332,0.394,0.423,0.316,0.391,0.366,0.491,0.408,0.389,0.409,0.45,0.451,0.467,0.468,0.417,0.543,0.409,0.404,0.408,0.458,0.439,0.578,0.514,0.556,0.475,0.527,0.609,0.462,0.514,0.492,0.397
8,CDP Climate Change Questionnaire 2022 (Modules 1–6),0.536,0.504,0.435,0.473,0.48,0.478,0.444,0.427,1.0,0.721,0.65,0.621,0.446,0.559,0.6,0.552,0.633,0.537,0.57,0.56,0.58,0.617,0.366,0.512,0.496,0.436,0.313,0.587,0.538,0.583,0.553,0.495,0.797,0.489,0.672,0.549,0.477,0.511,0.586,0.46,0.461,0.477,0.585,0.448,0.445,0.359,0.501,0.522,0.517,0.536,0.488,0.541,0.443,0.521,0.436,0.575,0.518,0.577,0.472,0.552,0.488,0.587,0.595,0.646,0.564,0.611,0.617
9,CDP Climate Change Questionnaire 2022 – Module 7: Emissions Methodology and Exclusions,0.549,0.495,0.479,0.467,0.466,0.605,0.548,0.48,0.721,1.0,0.69,0.772,0.479,0.58,0.606,0.607,0.591,0.558,0.522,0.56,0.634,0.659,0.394,0.536,0.536,0.526,0.34,0.543,0.555,0.572,0.585,0.598,0.699,0.491,0.589,0.59,0.482,0.52,0.599,0.452,0.498,0.483,0.629,0.484,0.439,0.438,0.514,0.557,0.585,0.495,0.49,0.558,0.542,0.561,0.523,0.639,0.561,0.614,0.574,0.599,0.523,0.578,0.657,0.649,0.494,0.513,0.5
10,"CDP Climate Change, Forests, and Water Security Questionnaire 2022 (Modules 8–13)",0.565,0.508,0.507,0.395,0.454,0.656,0.516,0.494,0.65,0.69,1.0,0.605,0.497,0.568,0.686,0.532,0.602,0.506,0.575,0.54,0.718,0.669,0.357,0.522,0.525,0.474,0.351,0.519,0.602,0.627,0.55,0.64,0.707,0.487,0.586,0.556,0.445,0.509,0.575,0.45,0.503,0.478,0.683,0.424,0.468,0.41,0.535,0.484,0.545,0.572,0.477,0.579,0.5,0.518,0.433,0.644,0.572,0.58,0.554,0.642,0.583,0.675,0.698,0.655,0.548,0.562,0.496
11,CDP Disclosure System Guide 2022,0.533,0.465,0.469,0.457,0.476,0.501,0.516,0.425,0.621,0.772,0.605,1.0,0.477,0.498,0.561,0.533,0.508,0.502,0.437,0.494,0.548,0.552,0.333,0.489,0.506,0.469,0.372,0.487,0.567,0.529,0.51,0.493,0.561,0.423,0.513,0.497,0.484,0.479,0.506,0.434,0.47,0.477,0.561,0.457,0.457,0.434,0.474,0.478,0.515,0.442,0.462,0.552,0.584,0.513,0.423,0.49,0.497,0.508,0.58,0.488,0.466,0.493,0.48,0.514,0.434,0.462,0.445
